Existence of educational resources - exists,Type and size of educational resources - vocational institute,Existence of educational resources - does not exist,Nb of universities by type LebaneseUniversity branches,Public school coverage index number of schools per citizen,Type and size of educational resources - public schools,Type and size of educational resources - universities,Town,Nb of universities by type - Private universities,Type and size of educational resources - private schools
1,0,0,0,5000,1,0,Zefta,0,1
0,0,1,0,0,0,0,Zeita,0,0
1,2,0,0,4375,8,1,Zgharta-Ehden,1,1
0,0,1,0,0,0,0,Zhilta,0,0
0,0,1,0,0,0,0,Zibdine En-Nabatiyeh,0,0
0,0,0,0,0,0,0,Zighrine,0,0
0,0,1,0,0,0,0,Zilaya,0,0
1,0,0,0,0,0,0,Zouarib,0,1
1,3,0,0,54000,1,0,Zouk El-Kharab,0,3
1,1,0,0,45000,1,1,Zouk Mkayel,1,3
1,0,0,0,82000,1,1,Zouk Mousbeh,1,2
1,0,0,0,5300,1,0,Zouq El Hosniyeh,0,0
1,0,0,0,137,4,0,Zouq El-Hadara,0,0
1,0,0,0,1048,1,0,Zouq El-Hbalsa,0,0
1,1,0,0,7000,2,0,Zrariyeh,0,2
0,0,1,0,0,0,0,Zrazeer,0,0
0,0,1,0,0,0,0,aain Aalaq,0,0
1,1,0,0,4400,5,0,berqayel,0,2
0,0,1,0,0,0,0,ebra wChouane,0,0
0,0,1,0,0,0,0,hadtoun,0,0
1,0,0,0,3300,1,0,jouar Hasheesh,0,0
0,0,1,0,0,0,0,mazboud,0,0
1,0,0,0,3000,1,0,shebaneye,0,0
1,0,0,0,2000,2,0,tarane,0,0
0,0,0,0,0,0,0,yahchouch,0,0
